"date","downloads","pkg"
"2024-01-27",7,"vetiver"
"2024-01-28",16,"vetiver"
"2024-01-29",103,"vetiver"
"2024-01-30",44,"vetiver"
"2024-01-31",31,"vetiver"
"2024-02-01",33,"vetiver"
"2024-02-02",23,"vetiver"
"2024-02-03",13,"vetiver"
"2024-02-04",5,"vetiver"
"2024-02-05",50,"vetiver"
"2024-02-06",46,"vetiver"
"2024-02-07",25,"vetiver"
"2024-02-08",47,"vetiver"
"2024-02-09",17,"vetiver"
"2024-02-10",4,"vetiver"
"2024-02-11",30,"vetiver"
"2024-02-12",24,"vetiver"
"2024-02-13",48,"vetiver"
"2024-02-14",14,"vetiver"
"2024-02-15",75,"vetiver"
"2024-02-16",61,"vetiver"
"2024-02-17",26,"vetiver"
"2024-02-18",11,"vetiver"
"2024-02-19",8,"vetiver"
"2024-02-20",37,"vetiver"
"2024-02-21",33,"vetiver"
"2024-02-22",51,"vetiver"
"2024-02-23",30,"vetiver"
"2024-02-24",10,"vetiver"
"2024-02-25",6,"vetiver"
"2024-02-26",44,"vetiver"
"2024-02-27",41,"vetiver"
"2024-02-28",24,"vetiver"
"2024-02-29",36,"vetiver"
"2024-03-01",30,"vetiver"
"2024-03-02",10,"vetiver"
"2024-03-03",13,"vetiver"
"2024-03-04",19,"vetiver"
"2024-03-05",15,"vetiver"
"2024-03-06",37,"vetiver"
"2024-03-07",34,"vetiver"
"2024-03-08",55,"vetiver"
"2024-03-09",30,"vetiver"
"2024-03-10",84,"vetiver"
"2024-03-11",23,"vetiver"
"2024-03-12",26,"vetiver"
"2024-03-13",17,"vetiver"
"2024-03-14",12,"vetiver"
"2024-03-15",27,"vetiver"
"2024-03-16",4,"vetiver"
"2024-03-17",5,"vetiver"
"2024-03-18",9,"vetiver"
"2024-03-19",25,"vetiver"
"2024-03-20",90,"vetiver"
"2024-03-21",117,"vetiver"
"2024-03-22",8,"vetiver"
"2024-03-23",4,"vetiver"
"2024-03-24",6,"vetiver"
"2024-03-25",94,"vetiver"
"2024-03-26",136,"vetiver"
"2024-03-27",99,"vetiver"
"2024-03-28",46,"vetiver"
"2024-03-29",23,"vetiver"
"2024-03-30",7,"vetiver"
"2024-03-31",6,"vetiver"
"2024-04-01",26,"vetiver"
"2024-04-02",34,"vetiver"
"2024-04-03",67,"vetiver"
"2024-04-04",75,"vetiver"
"2024-04-05",96,"vetiver"
"2024-04-06",16,"vetiver"
"2024-04-07",8,"vetiver"
"2024-04-08",26,"vetiver"
"2024-04-09",28,"vetiver"
"2024-04-10",15,"vetiver"
"2024-04-11",6,"vetiver"
"2024-04-12",69,"vetiver"
"2024-04-13",47,"vetiver"
"2024-04-14",8,"vetiver"
"2024-04-15",53,"vetiver"
"2024-04-16",32,"vetiver"
"2024-04-17",78,"vetiver"
"2024-04-18",226,"vetiver"
"2024-04-19",58,"vetiver"
"2024-04-20",27,"vetiver"
"2024-04-21",76,"vetiver"
"2024-04-22",71,"vetiver"
"2023-10-25",61075,"plotnine"
"2023-10-26",54031,"plotnine"
"2023-10-27",52295,"plotnine"
"2023-10-28",41484,"plotnine"
"2023-10-29",39161,"plotnine"
"2023-10-30",48607,"plotnine"
"2023-10-31",55088,"plotnine"
"2023-11-01",74240,"plotnine"
"2023-11-02",55481,"plotnine"
"2023-11-03",52933,"plotnine"
"2023-11-04",38047,"plotnine"
"2023-11-05",34399,"plotnine"
"2023-11-06",44904,"plotnine"
"2023-11-07",67089,"plotnine"
"2023-11-08",53119,"plotnine"
"2023-11-09",54313,"plotnine"
"2023-11-10",50476,"plotnine"
"2023-11-11",53208,"plotnine"
"2023-11-12",51213,"plotnine"
"2023-11-13",57880,"plotnine"
"2023-11-14",60010,"plotnine"
"2023-11-15",63480,"plotnine"
"2023-11-16",59299,"plotnine"
"2023-11-17",67225,"plotnine"
"2023-11-18",60655,"plotnine"
"2023-11-19",61844,"plotnine"
"2023-11-20",65969,"plotnine"
"2023-11-21",65612,"plotnine"
"2023-11-22",69187,"plotnine"
"2023-11-23",62928,"plotnine"
"2023-11-24",68589,"plotnine"
"2023-11-25",59684,"plotnine"
"2023-11-26",59227,"plotnine"
"2023-11-27",72347,"plotnine"
"2023-11-28",72373,"plotnine"
"2023-11-29",74015,"plotnine"
"2023-11-30",74381,"plotnine"
"2023-12-01",72324,"plotnine"
"2023-12-02",53366,"plotnine"
"2023-12-03",50311,"plotnine"
"2023-12-04",63079,"plotnine"
"2023-12-05",66769,"plotnine"
"2023-12-06",66118,"plotnine"
"2023-12-07",72149,"plotnine"
"2023-12-08",66214,"plotnine"
"2023-12-09",57466,"plotnine"
"2023-12-10",53568,"plotnine"
"2023-12-11",68797,"plotnine"
"2023-12-12",76490,"plotnine"
"2023-12-13",72599,"plotnine"
"2023-12-14",69104,"plotnine"
"2023-12-15",81436,"plotnine"
"2023-12-16",68869,"plotnine"
"2023-12-17",61633,"plotnine"
"2023-12-18",69566,"plotnine"
"2023-12-19",79823,"plotnine"
"2023-12-20",83388,"plotnine"
"2023-12-21",77060,"plotnine"
"2023-12-22",70451,"plotnine"
"2023-12-23",59203,"plotnine"
"2023-12-24",55069,"plotnine"
"2023-12-25",54275,"plotnine"
"2023-12-26",62686,"plotnine"
"2023-12-27",64137,"plotnine"
"2023-12-28",66476,"plotnine"
"2023-12-29",63969,"plotnine"
"2023-12-30",57133,"plotnine"
"2023-12-31",54959,"plotnine"
"2024-01-01",54945,"plotnine"
"2024-01-02",77274,"plotnine"
"2024-01-03",77595,"plotnine"
"2024-01-04",97505,"plotnine"
"2024-01-05",87529,"plotnine"
"2024-01-06",56569,"plotnine"
"2024-01-07",76416,"plotnine"
"2024-01-08",71183,"plotnine"
"2024-01-09",83410,"plotnine"
"2024-01-10",90806,"plotnine"
"2024-01-11",88982,"plotnine"
"2024-01-12",76821,"plotnine"
"2024-01-13",66350,"plotnine"
"2024-01-14",61188,"plotnine"
"2024-01-15",66995,"plotnine"
"2024-01-16",82434,"plotnine"
"2024-01-17",84036,"plotnine"
"2024-01-18",90150,"plotnine"
"2024-01-19",84622,"plotnine"
"2024-01-20",65122,"plotnine"
"2024-01-21",64818,"plotnine"
"2024-01-22",83576,"plotnine"
"2024-01-23",83667,"plotnine"
"2024-01-24",78558,"plotnine"
"2024-01-25",87143,"plotnine"
"2024-01-26",84008,"plotnine"
"2024-01-27",71143,"plotnine"
"2024-01-28",75507,"plotnine"
"2024-01-29",86333,"plotnine"
"2024-01-30",92648,"plotnine"
"2024-01-31",87698,"plotnine"
"2024-02-01",103411,"plotnine"
"2024-02-02",78447,"plotnine"
"2024-02-03",55058,"plotnine"
"2024-02-04",52407,"plotnine"
"2024-02-05",67725,"plotnine"
"2024-02-06",65643,"plotnine"
"2024-02-07",88208,"plotnine"
"2024-02-08",119334,"plotnine"
"2024-02-09",99973,"plotnine"
"2024-02-10",77864,"plotnine"
"2024-02-11",77056,"plotnine"
"2024-02-12",88941,"plotnine"
"2024-02-13",88228,"plotnine"
"2024-02-14",97207,"plotnine"
"2024-02-15",87349,"plotnine"
"2024-02-16",91702,"plotnine"
"2024-02-17",80521,"plotnine"
"2024-02-18",76857,"plotnine"
"2024-02-19",80226,"plotnine"
"2024-02-20",89140,"plotnine"
"2024-02-21",89428,"plotnine"
"2024-02-22",93761,"plotnine"
"2024-02-23",95007,"plotnine"
"2024-02-24",76761,"plotnine"
"2024-02-25",72825,"plotnine"
"2024-02-26",95054,"plotnine"
"2024-02-27",94283,"plotnine"
"2024-02-28",109776,"plotnine"
"2024-02-29",90728,"plotnine"
"2024-03-01",89574,"plotnine"
"2024-03-02",88125,"plotnine"
"2024-03-03",78939,"plotnine"
"2024-03-04",102936,"plotnine"
"2024-03-05",96208,"plotnine"
"2024-03-06",104348,"plotnine"
"2024-03-07",97768,"plotnine"
"2024-03-08",94980,"plotnine"
"2024-03-09",84407,"plotnine"
"2024-03-10",79677,"plotnine"
"2024-03-11",99043,"plotnine"
"2024-03-12",86672,"plotnine"
"2024-03-13",107130,"plotnine"
"2024-03-14",97855,"plotnine"
"2024-03-15",106296,"plotnine"
"2024-03-16",81598,"plotnine"
"2024-03-17",81172,"plotnine"
"2024-03-18",99522,"plotnine"
"2024-03-19",107554,"plotnine"
"2024-03-20",112102,"plotnine"
"2024-03-21",108006,"plotnine"
"2024-03-22",99557,"plotnine"
"2024-03-23",84556,"plotnine"
"2024-03-24",85940,"plotnine"
"2024-03-25",108481,"plotnine"
"2024-03-26",112839,"plotnine"
"2024-03-27",118279,"plotnine"
"2024-03-28",107650,"plotnine"
"2024-03-29",100219,"plotnine"
"2024-03-30",81214,"plotnine"
"2024-03-31",81674,"plotnine"
"2024-04-01",99933,"plotnine"
"2024-04-02",104167,"plotnine"
"2024-04-03",101888,"plotnine"
"2024-04-04",101986,"plotnine"
"2024-04-05",95553,"plotnine"
"2024-04-06",84175,"plotnine"
"2024-04-07",79823,"plotnine"
"2024-04-08",100389,"plotnine"
"2024-04-09",104685,"plotnine"
"2024-04-10",97952,"plotnine"
"2024-04-11",106278,"plotnine"
"2024-04-12",106830,"plotnine"
"2024-04-13",86539,"plotnine"
"2024-04-14",85841,"plotnine"
"2024-04-15",115029,"plotnine"
"2024-04-16",101418,"plotnine"
"2024-04-17",108451,"plotnine"
"2024-04-18",105907,"plotnine"
"2024-04-19",104265,"plotnine"
"2024-04-20",91680,"plotnine"
"2024-04-21",75029,"plotnine"
"2024-04-22",101290,"plotnine"
"2023-10-25",996,"siuba"
"2023-10-26",1240,"siuba"
"2023-10-27",990,"siuba"
"2023-10-28",326,"siuba"
"2023-10-29",344,"siuba"
"2023-10-30",784,"siuba"
"2023-10-31",865,"siuba"
"2023-11-01",1213,"siuba"
"2023-11-02",680,"siuba"
"2023-11-03",699,"siuba"
"2023-11-04",307,"siuba"
"2023-11-05",375,"siuba"
"2023-11-06",945,"siuba"
"2023-11-07",960,"siuba"
"2023-11-08",748,"siuba"
"2023-11-09",737,"siuba"
"2023-11-10",830,"siuba"
"2023-11-11",261,"siuba"
"2023-11-12",332,"siuba"
"2023-11-13",849,"siuba"
"2023-11-14",735,"siuba"
"2023-11-15",915,"siuba"
"2023-11-16",774,"siuba"
"2023-11-17",1000,"siuba"
"2023-11-18",291,"siuba"
"2023-11-19",313,"siuba"
"2023-11-20",830,"siuba"
"2023-11-21",571,"siuba"
"2023-11-22",776,"siuba"
"2023-11-23",540,"siuba"
"2023-11-24",376,"siuba"
"2023-11-25",343,"siuba"
"2023-11-26",381,"siuba"
"2023-11-27",875,"siuba"
"2023-11-28",790,"siuba"
"2023-11-29",1090,"siuba"
"2023-11-30",854,"siuba"
"2023-12-01",857,"siuba"
"2023-12-02",349,"siuba"
"2023-12-03",396,"siuba"
"2023-12-04",791,"siuba"
"2023-12-05",865,"siuba"
"2023-12-06",1080,"siuba"
"2023-12-07",1140,"siuba"
"2023-12-08",994,"siuba"
"2023-12-09",311,"siuba"
"2023-12-10",514,"siuba"
"2023-12-11",712,"siuba"
"2023-12-12",844,"siuba"
"2023-12-13",812,"siuba"
"2023-12-14",834,"siuba"
"2023-12-15",718,"siuba"
"2023-12-16",344,"siuba"
"2023-12-17",416,"siuba"
"2023-12-18",615,"siuba"
"2023-12-19",780,"siuba"
"2023-12-20",998,"siuba"
"2023-12-21",578,"siuba"
"2023-12-22",634,"siuba"
"2023-12-23",320,"siuba"
"2023-12-24",390,"siuba"
"2023-12-25",331,"siuba"
"2023-12-26",541,"siuba"
"2023-12-27",608,"siuba"
"2023-12-28",563,"siuba"
"2023-12-29",646,"siuba"
"2023-12-30",312,"siuba"
"2023-12-31",410,"siuba"
"2024-01-01",409,"siuba"
"2024-01-02",880,"siuba"
"2024-01-03",840,"siuba"
"2024-01-04",654,"siuba"
"2024-01-05",606,"siuba"
"2024-01-06",312,"siuba"
"2024-01-07",426,"siuba"
"2024-01-08",465,"siuba"
"2024-01-09",738,"siuba"
"2024-01-10",840,"siuba"
"2024-01-11",956,"siuba"
"2024-01-12",959,"siuba"
"2024-01-13",354,"siuba"
"2024-01-14",463,"siuba"
"2024-01-15",959,"siuba"
"2024-01-16",790,"siuba"
"2024-01-17",790,"siuba"
"2024-01-18",1186,"siuba"
"2024-01-19",1465,"siuba"
"2024-01-20",825,"siuba"
"2024-01-21",791,"siuba"
"2024-01-22",1370,"siuba"
"2024-01-23",962,"siuba"
"2024-01-24",1034,"siuba"
"2024-01-25",845,"siuba"
"2024-01-26",824,"siuba"
"2024-01-27",229,"siuba"
"2024-01-28",378,"siuba"
"2024-01-29",834,"siuba"
"2024-01-30",1055,"siuba"
"2024-01-31",1117,"siuba"
"2024-02-01",831,"siuba"
"2024-02-02",789,"siuba"
"2024-02-03",436,"siuba"
"2024-02-04",394,"siuba"
"2024-02-05",806,"siuba"
"2024-02-06",812,"siuba"
"2024-02-07",861,"siuba"
"2024-02-08",1034,"siuba"
"2024-02-09",672,"siuba"
"2024-02-10",423,"siuba"
"2024-02-11",475,"siuba"
"2024-02-12",1077,"siuba"
"2024-02-13",1161,"siuba"
"2024-02-14",910,"siuba"
"2024-02-15",1438,"siuba"
"2024-02-16",1613,"siuba"
"2024-02-17",336,"siuba"
"2024-02-18",365,"siuba"
"2024-02-19",989,"siuba"
"2024-02-20",1467,"siuba"
"2024-02-21",953,"siuba"
"2024-02-22",1184,"siuba"
"2024-02-23",1933,"siuba"
"2024-02-24",363,"siuba"
"2024-02-25",353,"siuba"
"2024-02-26",936,"siuba"
"2024-02-27",1590,"siuba"
"2024-02-28",1075,"siuba"
"2024-02-29",911,"siuba"
"2024-03-01",1097,"siuba"
"2024-03-02",374,"siuba"
"2024-03-03",394,"siuba"
"2024-03-04",1254,"siuba"
"2024-03-05",1298,"siuba"
"2024-03-06",1538,"siuba"
"2024-03-07",1171,"siuba"
"2024-03-08",1109,"siuba"
"2024-03-09",318,"siuba"
"2024-03-10",389,"siuba"
"2024-03-11",749,"siuba"
"2024-03-12",906,"siuba"
"2024-03-13",1234,"siuba"
"2024-03-14",1099,"siuba"
"2024-03-15",1371,"siuba"
"2024-03-16",453,"siuba"
"2024-03-17",623,"siuba"
"2024-03-18",1515,"siuba"
"2024-03-19",907,"siuba"
"2024-03-20",1419,"siuba"
"2024-03-21",2997,"siuba"
"2024-03-22",2518,"siuba"
"2024-03-23",587,"siuba"
"2024-03-24",587,"siuba"
"2024-03-25",2447,"siuba"
"2024-03-26",3620,"siuba"
"2024-03-27",3271,"siuba"
"2024-03-28",2682,"siuba"
"2024-03-29",2237,"siuba"
"2024-03-30",497,"siuba"
"2024-03-31",430,"siuba"
"2024-04-01",3064,"siuba"
"2024-04-02",3638,"siuba"
"2024-04-03",2657,"siuba"
"2024-04-04",2843,"siuba"
"2024-04-05",2345,"siuba"
"2024-04-06",625,"siuba"
"2024-04-07",397,"siuba"
"2024-04-08",1887,"siuba"
"2024-04-09",2548,"siuba"
"2024-04-10",2767,"siuba"
"2024-04-11",4050,"siuba"
"2024-04-12",3432,"siuba"
"2024-04-13",756,"siuba"
"2024-04-14",529,"siuba"
"2024-04-15",2522,"siuba"
"2024-04-16",2234,"siuba"
"2024-04-17",2548,"siuba"
"2024-04-18",2471,"siuba"
"2024-04-19",2400,"siuba"
"2024-04-20",410,"siuba"
"2024-04-21",335,"siuba"
"2024-04-22",2939,"siuba"
